
2022/08/04 (14:39:56) | ===> btop++ v.1.2.8
2022/08/04 (14:39:56) | INFO: Logger set to DEBUG
2022/08/04 (14:39:56) | DEBUG: Using locale C.UTF-8
2022/08/04 (14:39:56) | INFO: Running on /dev/pts/0

2022/08/04 (14:40:08) | ===> btop++ v.1.2.8
2022/08/04 (14:40:08) | INFO: Logger set to DEBUG
2022/08/04 (14:40:08) | DEBUG: Using locale C.UTF-8
2022/08/04 (14:40:08) | INFO: Running on /dev/pts/0
2022/08/04 (14:40:12) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2022/08/04 (14:40:12) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2022/08/04 (14:40:13) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2022/08/04 (14:40:13) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2022/08/04 (14:40:32) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2022/08/04 (14:40:34) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2022/08/04 (14:40:36) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2022/08/04 (14:40:36) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2022/08/04 (14:40:36) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2022/08/04 (14:40:37) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2022/08/04 (14:40:37) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2022/08/04 (14:40:38) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2022/08/04 (14:40:39) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2022/08/04 (14:40:43) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2022/08/04 (14:41:00) | DEBUG: Writing new config file
2022/08/04 (14:41:00) | INFO: Quitting! Runtime: 00:00:52

2022/08/04 (14:41:02) | ===> btop++ v.1.2.8
2022/08/04 (14:41:02) | INFO: Logger set to DEBUG
2022/08/04 (14:41:02) | DEBUG: Using locale C.UTF-8
2022/08/04 (14:41:02) | INFO: Running on /dev/pts/0
2022/08/04 (14:41:02) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme

2022/08/05 (14:10:17) | ===> btop++ v.1.2.8
2022/08/05 (14:10:17) | INFO: Logger set to DEBUG
2022/08/05 (14:10:17) | DEBUG: Using locale C.UTF-8
2022/08/05 (14:10:17) | INFO: Running on /dev/pts/3
2022/08/05 (14:10:17) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme

2022/08/06 (17:03:39) | ===> btop++ v.1.2.8
2022/08/06 (17:03:39) | INFO: Logger set to DEBUG
2022/08/06 (17:03:39) | DEBUG: Using locale C.UTF-8
2022/08/06 (17:03:39) | INFO: Running on /dev/pts/1
2022/08/06 (17:03:39) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme

2022/08/10 (00:56:06) | ===> btop++ v.1.2.8
2022/08/10 (00:56:06) | INFO: Logger set to DEBUG
2022/08/10 (00:56:06) | DEBUG: Using locale C.UTF-8
2022/08/10 (00:56:06) | INFO: Running on /dev/pts/0
2022/08/10 (00:56:06) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme

2022/08/30 (19:39:06) | ===> btop++ v.1.2.8
2022/08/30 (19:39:06) | INFO: Logger set to DEBUG
2022/08/30 (19:39:06) | DEBUG: Using locale C.UTF-8
2022/08/30 (19:39:06) | INFO: Running on /dev/pts/0
2022/08/30 (19:39:06) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme

2022/09/07 (21:36:50) | ===> btop++ v.1.2.9
2022/09/07 (21:36:50) | INFO: Logger set to DEBUG
2022/09/07 (21:36:50) | DEBUG: Using locale C.UTF-8
2022/09/07 (21:36:50) | INFO: Running on /dev/pts/1
2022/09/07 (21:36:50) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme

2022/09/08 (20:59:33) | ===> btop++ v.1.2.9
2022/09/08 (20:59:33) | INFO: Logger set to DEBUG
2022/09/08 (20:59:33) | DEBUG: Using locale C.UTF-8
2022/09/08 (20:59:33) | INFO: Running on /dev/pts/1
2022/09/08 (20:59:33) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
